BHK,Location,Size(sq.ft),Deposit(Rs),Rent(Rs),Furnishing,Property Age,Available For
3,Kasavanahalli,1200,100000,17000,Semi Furnished,5-10 years ,Family
3,Whitefield,1430,75000,21000,Semi Furnished,1-3 years ,All
3,Koramangala,1950,300000,46000,Full Furnished,3-5 years ,All
2,Kasavanahalli,1197,100000,18000,Semi Furnished,1-3 years ,All
1,Chinnapanna Halli,500,40000,10000,Semi Furnished,1-3 years ,All
1,Doddanekkundi,600,50000,9500,Semi Furnished,1-3 years ,All
2,Hrbr Layout,1200,210000,21000,Semi Furnished,5-10 years ,All
2,Kengeri Hobli,883,100000,13000,Semi Furnished,1-3 years ,All
2,Jp Nagar,1070,150000,19000,Semi Furnished,3-5 years ,Family
3,Bellandur,1350,150000,24000,Semi Furnished,>10 years ,All
2,Hebbal Kempapura,1200,200000,20000,Semi Furnished,1-3 years ,Family
3,Harlur,3300,300000,52000,Semi Furnished,5-10 years ,Family
2,Rmv Extension Stage 2,1200,125000,20000,Semi Furnished,3-5 years ,Family
2,Basapura,600,50000,8500,Semi Furnished,>10 years ,Family
3,Hennur Main Road,1600,200000,32000,Semi Furnished,5-10 years ,Family
2,New Tippasandra,620,120000,18000,UnFurnished,>10 years ,All
2,Kadugodi,1124,60000,17000,Semi Furnished,1-3 years ,All
1,Hongasandra,750,40000,9000,Semi Furnished,3-5 years ,All
1,Hoodi,600,60000,12500,Semi Furnished,1-3 years ,All
1,Btm 1st Stage,700,60000,11500,Semi Furnished,5-10 years ,All
3,Indiranagar,1800,250000,40000,Semi Furnished,>10 years ,Family
3,Hoodi,1500,100000,27000,Full Furnished,1-3 years ,All
3,Jalahalli East,1260,200000,22000,Semi Furnished,1-3 years ,Family
2,Thanisandra,1080,200000,23000,Semi Furnished,3-5 years ,Family
2,Singasandra,1299,100000,19000,Semi Furnished,Newly Constructed,All
2,Sanjay Nagar,1200,100000,18000,Semi Furnished,5-10 years ,Family
2,Hsr Layout,1200,150000,18000,Semi Furnished,>10 years ,Family
2,Harlur,1090,180000,30000,Semi Furnished,1-3 years ,Family
2,Panathur,1007,150000,23000,Semi Furnished,3-5 years ,All
1,C V Raman Nagar,700,50000,15000,Full Furnished,5-10 years ,Bachelors
2,Haralur,800,100000,18000,Semi Furnished,Newly Constructed,All
2,Shanti Nagar,900,200000,23500,Full Furnished,>10 years ,Family
1,Electronic City,600,25000,9000,Semi Furnished,3-5 years ,All
1,Hsr Layout,600,50000,14000,Semi Furnished,5-10 years ,All
2,Bellandur,935,100000,18000,Semi Furnished,>10 years ,Family
3,Bellandur,1607,400000,45000,Semi Furnished,Newly Constructed,All
3,Kodihalli,1450,250000,36000,Semi Furnished,5-10 years ,All
2,Whitefield,1203,200000,30000,Semi Furnished,1-3 years ,Family
2,Jp Nagar,800,60000,12000,Semi Furnished,3-5 years ,All
2,Yeshwanthpur,1400,350000,35000,Semi Furnished,5-10 years ,Family
2,Varthur,1216,200000,27000,Semi Furnished,1-3 years ,Family
3,Kasavanahalli,1888,200000,38000,Full Furnished,Newly Constructed,Family
2,Domlur,1100,100000,24000,Semi Furnished,5-10 years ,All
2,Murugeshpalya,900,200000,23000,Semi Furnished,5-10 years ,All
2,Malleshwaram,700,100000,12000,Semi Furnished,>10 years ,Family
3,Arekere Mico Layout,1100,150000,21500,Semi Furnished,3-5 years ,All
2,Hsr Layout,1034,200000,26000,Semi Furnished,1-3 years ,Family
2,Bellandur,1100,100000,20000,Semi Furnished,5-10 years ,All
2,Attiguppe,750,100000,13000,Semi Furnished,>10 years ,Family
2,Whitefield,1335,110000,21000,Full Furnished,3-5 years ,Family
2,Hebbal,1200,130000,13000,Semi Furnished,5-10 years ,Family
1,Neelasandra,750,100000,10000,Semi Furnished,5-10 years ,All
2,Whitefield,1250,125000,18500,Semi Furnished,3-5 years ,All
1,Kadugodi,400,20000,7000,Semi Furnished,Newly Constructed,All
3,Bellandur,1400,150000,30000,Semi Furnished,5-10 years ,All
2,Arasinakunte,570,50000,6000,Semi Furnished,Newly Constructed,All
3,Chikkabellandur,1291,150000,30000,Semi Furnished,3-5 years ,Family
3,Hsr Layout,1800,120000,40000,Semi Furnished,>10 years ,Family
1,Msr North,450,50000,9000,Semi Furnished,3-5 years ,All
1,Halasuru,550,60000,13000,Semi Furnished,5-10 years ,Bachelors
2,Whitefield,1360,200000,32000,Semi Furnished,3-5 years ,All
2,New Tippasandra,750,100000,19000,Semi Furnished,>10 years ,All
2,Kasavanahalli,1100,100000,19000,Semi Furnished,3-5 years ,Family
2,Kasavanahalli,1135,150000,21000,Semi Furnished,1-3 years ,All
3,Hoodi,1415,150000,28000,Full Furnished,5-10 years ,All
2,Ramamurthy Nagar,900,50000,13500,Semi Furnished,1-3 years ,Family
3,Electronic City,1640,100000,20000,Semi Furnished,5-10 years ,Family
2,Malleshwaram West,650,150000,15000,Semi Furnished,>10 years ,Family
2,Bellandur,1210,200000,23000,Semi Furnished,5-10 years ,Family
2,Panathur,1064,100000,23000,Semi Furnished,3-5 years ,Family
2,Brookefield,1047,270000,28000,Semi Furnished,1-3 years ,Family
1,Assaye Road,500,60000,11000,Semi Furnished,5-10 years ,All
1,J. P. Nagar,450,50000,8500,Semi Furnished,1-3 years ,All
1,Electronic City,650,35000,9500,Semi Furnished,3-5 years ,All
2,Bellandur,1399,150000,28000,Full Furnished,3-5 years ,Family
2,Eastwood Twp,1050,200000,20000,Semi Furnished,Newly Constructed,All
2,Hsr Layout,1340,200000,31000,Semi Furnished,5-10 years ,Family
2,Divyasree Republic Of Whitefield,906,180000,28000,Semi Furnished,Newly Constructed,All
2,Banashankari,600,50000,9000,Semi Furnished,3-5 years ,Family
3,Bommenahalli,1350,100000,22000,Semi Furnished,Newly Constructed,All
2,Babusabpalya,1200,100000,14500,Semi Furnished,>10 years ,All
3,Whitefield,1615,200000,26000,Semi Furnished,5-10 years ,Family
2,Babusapalya,1200,80000,14500,Semi Furnished,5-10 years ,Family
2,Lingarajapuram,1200,150000,17000,Semi Furnished,5-10 years ,Family
2,Belathur Whitefield,1350,100000,21000,Semi Furnished,1-3 years ,All
2,Panathur,1234,200000,24500,Semi Furnished,5-10 years ,All
2,Banashankari Stage 3,2000,200000,17500,Semi Furnished,>10 years ,Family
2,Yemalur,1180,150000,25000,Full Furnished,3-5 years ,Family
3,Brookefield,1515,200000,36500,Full Furnished,>10 years ,All
2,Hoodi,1143,150000,33500,Semi Furnished,Newly Constructed,All
3,Koramangala,1908,300000,36000,Semi Furnished,>10 years ,All
2,Gottigere,1038,120000,12000,Semi Furnished,5-10 years ,Family
2,Whitefield,1110,60000,21000,Semi Furnished,3-5 years ,Family
2,Prakruthi Twp,1108,95000,19000,Semi Furnished,5-10 years ,Family
3,Yeshwanthpur,1641,360000,36000,Semi Furnished,3-5 years ,Family
2,J. P. Nagar,1174,100000,20000,Semi Furnished,5-10 years ,All
2,Kodigehalli,1205,100000,19000,Semi Furnished,1-3 years ,Family
3,Singapura Paradise,1200,150000,15000,Semi Furnished,3-5 years ,All
3,Lingarajapuram,1440,150000,26000,Semi Furnished,5-10 years ,Family
3,Rajaji Nagar,1840,600000,75000,Semi Furnished,5-10 years ,Company
2,Koramangala,1100,200000,33000,Semi Furnished,3-5 years ,All
3,Iblur Village,1805,210000,35000,Full Furnished,>10 years ,All
3,Bellandur,1400,150000,27000,Semi Furnished,1-3 years ,All
2,Bommanahalli,1035,50000,17000,Semi Furnished,3-5 years ,All
3,Horamavu,1812,150000,25000,Semi Furnished,5-10 years ,Family
2,Whitefield,1175,150000,21000,Semi Furnished,5-10 years ,All
3,,1540,260000,26000,Semi Furnished,3-5 years ,Family
3,Doddakannelli,1810,105000,37000,Semi Furnished,Newly Constructed,All
2,Choodasandra,1130,100000,20000,Semi Furnished,Newly Constructed,Family
1,Munnekollal,600,40000,12000,Semi Furnished,3-5 years ,Family
1,Whitefield,500,30000,10000,Semi Furnished,1-3 years ,All
2,Gottigere,1186,180000,18000,Semi Furnished,3-5 years ,Family
3,Kengeri Hobli,1082,80000,12000,Semi Furnished,1-3 years ,All
3,Munnekollal,1700,100000,24000,Semi Furnished,5-10 years ,Family
2,Yelahanka,1230,200000,23000,Semi Furnished,Newly Constructed,Family
2,Bellandur,1248,150000,30000,Semi Furnished,1-3 years ,All
2,Thanisandra,1100,150000,20000,Semi Furnished,Newly Constructed,Family
2,Rk Hegde Nagar,1308,100000,17500,Semi Furnished,5-10 years ,Family
4,Rustam Bagh Layout,1920,300000,34500,Semi Furnished,>10 years ,All
3,Hsr Layout,1600,170000,28000,Semi Furnished,5-10 years ,Family
2,Sivanchetti Gardens,1200,300000,28000,Semi Furnished,>10 years ,Family
2,Doddanekkundi,1000,70000,15000,Semi Furnished,5-10 years ,Family
2,Mahadevapura,1000,85000,18000,Semi Furnished,5-10 years ,Family
4,2nd Stage Vijay Nagar,1100,150000,25000,Semi Furnished,Newly Constructed,Family
4,Brookefield,2200,150000,40000,Full Furnished,>10 years ,Family
2,Ggr Sapphire Seetharamapalya,1050,150000,24000,Semi Furnished,1-3 years ,All
3,Kudlu Gate Bus Stop,1564,200000,34000,Semi Furnished,Newly Constructed,Family
1,S.g. Palya,400,60000,11500,Semi Furnished,Newly Constructed,All
2,Devarachikkana Halli,1200,100000,14000,Semi Furnished,Newly Constructed,Family
2,Horamavu,950,100000,16500,Semi Furnished,3-5 years ,Family
2,Mahadevapura,1058,150000,28000,Full Furnished,1-3 years ,All
3,Banashankari,1300,250000,25000,Semi Furnished,3-5 years ,Family
3,Harlur,1300,200000,37000,Semi Furnished,1-3 years ,All
3,Hsr Layout,1400,150000,22000,Semi Furnished,>10 years ,All
1,Bommanahalli,450,40000,7000,Semi Furnished,Newly Constructed,All
2,Kasavanahalli,1190,70000,21000,Semi Furnished,1-3 years ,All
2,Hsr Layout,800,100000,18000,Semi Furnished,>10 years ,Family
2,Rk Hegde Nagar,1100,100000,17000,Semi Furnished,3-5 years ,All
2,Kadubeesanahalli,1333,150000,24000,Semi Furnished,3-5 years ,All
3,Brookefield,1505,75000,28000,Full Furnished,3-5 years ,All
2,Harlur,1212,175000,28500,Semi Furnished,5-10 years ,All
3,Shanti Nagar,2000,250000,39000,Semi Furnished,>10 years ,All
1,Kalyan Nagar,640,60000,13000,Semi Furnished,5-10 years ,All
2,Doddakannelli,750,100000,15000,Semi Furnished,Newly Constructed,All
1,Hsr Layout,400,60000,13000,Semi Furnished,1-3 years ,All
2,Prakruthi Township,1000,125000,17500,Semi Furnished,3-5 years ,All
2,Domlur,800,150000,23000,Semi Furnished,1-3 years ,All
3,Thanisandra,1590,100000,29000,Full Furnished,5-10 years ,All
2,Murgesh Pallya,800,60000,16000,UnFurnished,3-5 years ,All
1,Jayanagar Ninth Block,780,120000,14500,Semi Furnished,5-10 years ,All
2,Annasandrapalya,800,100000,16000,Semi Furnished,>10 years ,Family
2,Shivaganga Layout,1200,50000,16000,Semi Furnished,3-5 years ,All
3,harlur,1414,150000,31000,Semi Furnished,3-5 years ,Family
2,Hsr Layout,800,100000,25000,Semi Furnished,3-5 years ,Family
2,Kasavanahalli,1026,150000,19000,Semi Furnished,5-10 years ,Family
2,Whitefield,1250,200000,27000,Semi Furnished,Newly Constructed,Family
2,Chokkanahalli,1188,100000,16000,UnFurnished,1-3 years ,All
3,Chokkanahalli,1100,150000,15000,Semi Furnished,Newly Constructed,All
1,Electronic City,638,60000,15000,Semi Furnished,Newly Constructed,All
2,Lavakusha Nagar,1210,100000,18000,Semi Furnished,1-3 years ,All
2,Murgeshpallya,950,120000,22000,Semi Furnished,>10 years ,All
2,Anchepalya,600,80000,8000,Semi Furnished,Newly Constructed,Family
3,Electronic City,1500,150000,20000,Semi Furnished,Newly Constructed,All
3,Banashankari,1817,300000,35000,Semi Furnished,Newly Constructed,All
2,Koramangala,1400,100000,26000,Semi Furnished,>10 years ,Family
3,Whitefield,1499,100000,19000,Semi Furnished,3-5 years ,Family
3,Bikasipura,1200,200000,20000,Semi Furnished,3-5 years ,Family
4,Kannamangala,2093,175000,30000,Semi Furnished,1-3 years ,Family
3,Krishnarajapura,1240,75000,14800,Semi Furnished,3-5 years ,All
2,Munnekollal,900,80000,18000,Full Furnished,>10 years ,All
2,Btm Layout,1200,120000,19500,Semi Furnished,3-5 years ,All
3,Krishnarajapura,1670,120000,24000,Semi Furnished,1-3 years ,Family
3,Hennur Gardens,1935,300000,32000,Full Furnished,3-5 years ,Family
2,Marathahalli,1268,150000,28000,Full Furnished,>10 years ,All
3,Chaithanya Samarpan,1800,390000,39000,Semi Furnished,5-10 years ,All
3,Marathahalli,1690,100000,24000,Semi Furnished,5-10 years ,Family
2,Hbr Layout,1119,75000,18000,Semi Furnished,3-5 years ,All
3,Hoodi,1490,300000,30000,Semi Furnished,>10 years ,All
2,Whitefield,1142,120000,22000,Semi Furnished,Newly Constructed,Family
2,Koramangala,1050,130000,22500,Semi Furnished,5-10 years ,All
3,Singapura Paradise,1200,120000,15000,Semi Furnished,1-3 years ,All
2,Subramanyapura,1050,80000,14000,Semi Furnished,3-5 years ,All
2,Kadubeesanahalli,1220,120000,23000,Semi Furnished,1-3 years ,All
2,Thanisandra,1000,100000,18500,Semi Furnished,1-3 years ,Family
1,Btm 2nd Stage,720,150000,18000,Semi Furnished,3-5 years ,Family
2,Singasandra,1145,120000,18000,Semi Furnished,1-3 years ,Family
3,Hoodi,1650,175000,34000,Semi Furnished,5-10 years ,All
3,Hsr Layout,1444,175000,32000,Semi Furnished,5-10 years ,All
2,Yeswanthpur,900,100000,16500,Semi Furnished,3-5 years ,All
3,Murgesh Pallya,1200,100000,18000,Semi Furnished,>10 years ,All
2,Rr Nagar,1050,120000,15500,Semi Furnished,3-5 years ,All
2,Nagavara,1000,150000,20000,Semi Furnished,3-5 years ,Family
2,Btm Layout,950,125000,19000,Semi Furnished,5-10 years ,All
2,Raja Rajeshwari Nagar,1270,150000,15000,Semi Furnished,>10 years ,All
3,Bellandur,2100,350000,45000,Full Furnished,Newly Constructed,All
2,Banaswadi,800,80000,12500,Semi Furnished,3-5 years ,Family
3,Electronic City,1159,100000,22000,Semi Furnished,5-10 years ,All
3,Marathahalli,1583,200000,35000,Semi Furnished,5-10 years ,All
2,Varthur,1216,200000,30000,Semi Furnished,1-3 years ,Family
4,Hsr Layout,3800,500000,65000,Semi Furnished,5-10 years ,All
3,Kasavanahalli,1900,300000,35000,Semi Furnished,Newly Constructed,All
3,Mathikere,1600,200000,20000,Semi Furnished,3-5 years ,All
3,Gunjur Palya,1410,200000,23000,Semi Furnished,Newly Constructed,Family
3,Panathur,1420,15000,25000,Semi Furnished,5-10 years ,All
3,Brookefield,1375,170000,27500,Semi Furnished,5-10 years ,Family
2,Thubarahalli,800,60000,15000,Semi Furnished,5-10 years ,All
3,Varthur,1625,150000,27000,Full Furnished,3-5 years ,Family
3,Electronic City,1385,50000,14500,Semi Furnished,1-3 years ,Family
1,Kaikondrahalli,125,20000,7499,Semi Furnished,Newly Constructed,All
3,Krishnarajapura,2215,270000,45000,Semi Furnished,5-10 years ,All
2,Banashankari Stage Ii,1000,50000,11000,Semi Furnished,5-10 years ,All
4,Leela Palace Bus Stop,2500,600000,70000,Full Furnished,5-10 years ,All
3,Bilekahalli,1500,200000,29000,Semi Furnished,>10 years ,Family
3,Dodda Banaswadi,1400,100000,28000,Full Furnished,1-3 years ,All
2,Electronic City,935,75000,13000,Semi Furnished,5-10 years ,All
2,Kacharakanahalli,1100,90000,18500,Semi Furnished,5-10 years ,All
2,Bull Temple Road Bus Stop,1250,200000,20000,UnFurnished,>10 years ,Family
3,Koramangala,1600,440000,44500,Semi Furnished,5-10 years ,All
2,Ramamurthy Nagar,800,100000,13500,Semi Furnished,1-3 years ,All
3,Munnekollal,1740,100000,30000,Semi Furnished,>10 years ,All
4,New Tippasandra,1800,300000,40000,Semi Furnished,>10 years ,Family
2,K.r Puram,1000,100000,15000,Semi Furnished,1-3 years ,Family
3,Kasavanahalli,1880,150000,28000,Semi Furnished,1-3 years ,Family
3,Kaggadasapura,1850,140000,25000,Semi Furnished,>10 years ,Family
2,Indiranagar,1400,300000,34500,Semi Furnished,5-10 years ,Family
2,Varthur,1147,200000,30000,Full Furnished,1-3 years ,Family
1,Hongasandra,697,750000,13000,Semi Furnished,>10 years ,All
2,Hoodi,1000,130000,25000,Semi Furnished,5-10 years ,All
1,Hsr Layout,500,80000,13000,Semi Furnished,3-5 years ,All
2,White Field,650,100000,16000,Semi Furnished,Newly Constructed,Family
2,Iti Layout Water Tank,800,70000,18000,Semi Furnished,1-3 years ,All
2,Bilekahalli,1295,100000,19000,Semi Furnished,5-10 years ,All
2,Murugeshpalya,1200,200000,20000,Semi Furnished,>10 years ,Family
2,Bilekahalli,1450,180000,33500,Semi Furnished,3-5 years ,Family
1,Indiranagar,250,30000,7300,UnFurnished,3-5 years ,Bachelors
1,Kasavanahalli,600,50000,13000,Semi Furnished,1-3 years ,Family
2,Sanjaynagar,702,60000,13500,UnFurnished,5-10 years ,All
2,Suryanagar,797,100000,14000,Semi Furnished,5-10 years ,Family
3,Bhoganhalli,1500,70000,21500,Semi Furnished,3-5 years ,All
4,Banashankari,1900,500000,60000,Semi Furnished,>10 years ,All
1,Electronic City,600,20000,7000,Semi Furnished,1-3 years ,All
2,Vijayanagar,1050,100000,18000,Semi Furnished,5-10 years ,Family
1,Jeevanbheemanagar,600,50000,13000,Semi Furnished,1-3 years ,All
2,Hsr Layout,1000,100000,24000,Semi Furnished,>10 years ,Family
